::1 - GET /bin 404 142 - 8.687 ms
::1 - GET /bin 200 16 - 5.003 ms
::1 - GET /favicon.ico 404 150 - 1.631 ms
::1 - GET /bin 304 - - 1.416 ms
::1 - GET /bin 304 - - 0.509 ms
::1 - GET /bin 304 - - 0.279 ms
::1 - GET /bin 304 - - 0.445 ms
::1 - GET - /bin - 304 - - - 4.092 ms
::1 | GET | /bin | 304 | - | 3.208 ms
::1 | GET | /bin | 304 | - | 4.013 ms
::1 | GET | /bin | 304 | - | 0.690 ms
::1 | GET | /bin | 304 | - | 0.588 ms
::1 | GET | /bin | 304 | - | 0.623 ms
::1 | GET | /bin | 304 | - | 0.862 ms
::1 | GET | /bin | 304 | - | 0.412 ms
::1 | GET | /bin | 304 | - | 0.802 ms
::1 | GET | /bin | 304 | - | 0.533 ms
::1 | GET | /bin | 304 | - | 0.606 ms
::1 | GET | /bin | 304 | - | 0.738 ms
::1 | GET | /bin | 304 | - | 0.697 ms
::1 | GET | /bin | 304 | - | 0.747 ms
::1 | GET | /bin | 304 | - | 0.747 ms
::1 | GET | /bin | 304 | - | 0.772 ms
::1 | GET | /bin | 304 | - | 0.529 ms
::1 | GET | /bin | 304 | - | 0.465 ms
::1 | GET | / | 200 | 33 | 3.065 ms
::1 | GET | /bin | 200 | 25 | 1.395 ms
